name	paragraphs
Unidentified_flying_object	An unidentified flying object (UFO) is an object or phenomenon seen in the sky but not yet identified or explained. The term was coined when United States Air Force (USAF) investigations into flying saucers found too broad a range of shapes reported to consider them all saucers or discs.[1] UFOs are also known as unidentified aerial phenomena or unidentified anomalous phenomena (UAP).[2][3][4] Upon investigation, most UFOs are identified as known objects or atmospheric phenomena, while a small number remain unexplained.
Unidentified_flying_object	While unusual sightings in the sky have been reported since at least the 3rd century BC, UFOs became culturally prominent after World War II, escalating during the Space Age. Studies and investigations into UFO reports conducted by governments (such as Project Blue Book in the United States and Project Condign in the United Kingdom), as well as by organisations and individuals have occurred over the years without confirmation of the fantastical claims of small but vocal groups of ufologists who favour unconventional or pseudoscientific hypotheses, often claiming that UFOs are evidence of extraterrestrial intelligence, technologically advanced cryptids, interdimensional contact or future time travelers. After decades of promotion of such ideas by believers and in popular media, the kind of evidence required to solidly support such claims has not been forthcoming. Scientists and skeptic organizations such as the Committee for Skeptical Inquiry have provided prosaic explanations for UFOs, namely that they are caused by natural phenomena, human technology, delusions, and hoaxes. Although certain beliefs surrounding UFOs have inspired parts of new religions, social scientists have identified the ongoing interest and storytelling surrounding UFOs as a modern example of folklore and mythology understandable with psychosocial explanations.
Unidentified_flying_object	The problems of temporarily or permanently non-knowable anomalous phenomenon or perceived objects in flight is part of the philosophical subject epistemology.[5][6]
Unidentified_flying_object	The U.S. government has two entities dedicated to UFO data collection and analysis: NASA's UAP independent study team and the Department of Defense All-domain Anomaly Resolution Office.
Unidentified_flying_object	"During the late 1940s and through the 1950s, UFOs were often called ""flying saucers"" or ""flying discs"" based on reporting of the Kenneth Arnold incident.[7] ""Unidentified flying object"" (UFO) has been in-use since 1947.[8] The acronym ""UFO"" was coined by Captain Edward J. Ruppelt for the USAF. He wrote, ""Obviously the term 'flying saucer' is misleading when applied to objects of every conceivable shape and performance. For this reason the military prefers the more general, if less colorful, name: unidentified flying objects. UFO"".[9] The term UFO became widespread during the 1950s, at first in technical literature, but later in popular use.[10][11] ""Unidentified aerial phenomena"" (UAP) first appeared in the late 1960s. UAP has seen increasing usage in the 21st century due to negative cultural associations with ""UFO"".[8] UAP is sometimes expanded as ""unidentified anomalous phenomenon"".[12][13]"
Unidentified_flying_object	"While technically a UFO refers to any unidentified flying object, in modern popular culture the term UFO has generally become synonymous with alien spacecraft.[14] The term ""extra-terrestrial vehicle"" (ETV) is sometimes used to separate this explanation of UFOs from totally earthbound explanations.[15]"
Unidentified_flying_object	"Studies show that after careful investigation, the majority of UFOs can be identified as ordinary objects or phenomena. The 1952–1955 study for the USAF used the following categories: ""Balloon; Astronomical; Aircraft; Light phenomenon; Birds, Clouds, dust, etc.; Insufficient information; Psychological manifestations; Unknown; and Other"".[17] Identified sources of UFO reports are:"
Unidentified_flying_object	"An individual 1979 study by CUFOS researcher Allan Hendry found, as did other investigations, that fewer than one percent of cases he investigated were hoaxes and most sightings were actually honest misidentifications of prosaic phenomena. Hendry attributed most of these to inexperience or misperception.[27] Astronomer Andrew Fraknoi rejected the hypothesis that UFOs are extraterrestrial spacecraft and responded to the ""onslaught of credulous coverage"" in books, films and entertainment by teaching his students to apply critical thinking to such claims, advising them that ""being a good scientist is not unlike being a good detective"". According to Fraknoi, UFO reports ""might at first seem mysterious"", but ""the more you investigate, the more likely you are to find that there is LESS to these stories than meets the eye"".[28]"
Unidentified_flying_object	"People have always observed the sky and have sometimes seen what, to some, appeared to be unusual sights including phenomena as varied as comets, bright meteors, one or more of the five planets that can be readily seen with the naked eye, planetary conjunctions, and atmospheric optical phenomena such as parhelia and lenticular clouds.[citation needed] One particularly famous example is Halley's Comet: first recorded by Chinese astronomers in 240 BC and possibly as early as 467 BC as a strange and unknown ""guest light"" in the sky.[29] As a bright comet that visits the inner solar system every 76 years, it was often identified as a unique isolated event in ancient historical documents whose authors were unaware that it was a repeating phenomenon.[citation needed] Such accounts in history often were treated as supernatural portents, angels, or other religious omens.[citation needed] While UFO enthusiasts have sometimes commented on the narrative similarities between certain religious symbols in medieval paintings and UFO reports,[30] the canonical and symbolic character of such images is documented by art historians placing more conventional religious interpretations on such images.[31]"
Unidentified_flying_object	Some examples of pre-contemporary reports about unusual aerial phenomena include:
Unidentified_flying_object	"In the Pacific and European theatres during World War II, round, glowing fireballs known as ""foo fighters"" were reported by Allied and Axis pilots. Some explanations for these sightings included St. Elmo's fire, the planet Venus, hallucinations from oxygen deprivation, and German secret weapons (specifically rockets).[43] In 1946, more than 2,000 reports were collected, primarily by the Swedish military, of unidentified aerial objects over the Scandinavian nations, along with isolated reports from France, Portugal, Spain, Italy, and Greece. The objects were referred to as ""Russian hail"" (and later as ""ghost rockets"") because it was thought the mysterious objects were possibly Russian tests of captured German V1 or V2 rockets, but most were identified as natural phenomena as meteors.[44]"
Unidentified_flying_object	Many scholars, especially those arguing for the psychosocial UFO hypothesis, have noted that UFO characteristics reported after the first widely publicized modern sighting by Kenneth Arnold in 1947 resembled a host of science fiction tropes from earlier in the century.[45][46][47][48][49][50][51]
Unidentified_flying_object	"By most accounts, the popular UFO craze in the US began with a media frenzy surrounding the reports on June 24, 1947, of a civilian pilot named Kenneth Arnold who described seeing ""a group of bat-like aircraft flying in formation at high speeds"" near Mount Rainier that he said were ""moving like a saucer would if skipped across water"" which led to headlines about ""flying saucers"" and ""flying discs"".[52][53][54][55] Only weeks after Arnold's story was reported in 1947, Gallup published a poll asking people in the United States what the ""flying saucers"" might be. Already, 90% had heard of the new term. However, as reported by historian Greg Eghanian, ""a majority either had no idea what they could be or thought that witnesses were mistaken"" while ""visitors from space were not initially among the options that anyone had in mind, and Gallup didn't even mention if anyone surveyed brought up aliens.[53][56][57]"
Unidentified_flying_object	"Within weeks, reports of flying saucer sightings became a daily occurrence[58] with one particularly famous example being the Roswell incident in 1947 where remnants of a downed observation balloon were recovered by a farmer and confiscated by military personnel.[59] UFO enthusiasts in the early 1950s started to organize local ""saucer clubs"" modeled after science fiction fan clubs of the 1930s and 1940s, with some growing to national and international prominence within a decade.[53] In 1950, three influential books were published—Donald Keyhoe's The Flying Saucers Are Real, Frank Scully's Behind the Flying Saucers, and Gerald Heard's The Riddle of the Flying Saucers. Each guilelessly proposed that the extraterrestrial UFO hypothesis was the correct explanation and that the visits were in response to detonations of atomic weapons. These books also introduced Americans to, as Eghanian puts it, ""the crusading whistleblower dedicated to breaking the silence over the alien origins of unidentified flying objects"".[53] "
Unidentified_flying_object	"Media accounts and speculation ran rampant in the U.S., especially in connection to the 1952 UFO scare in Washington, D.C. so that, by 1953, the intelligence officials (Robertson Panel) worried that ""genuine incursions"" by enemy aircraft ""over U.S. territory could be lost in a maelstrom of kooky hallucination"" of UFO reports.[60] A Trendex survey in August 1957, ten years after the Arnold incident, reported that over 25% of the U.S. public ""believed unidentified flying objects could be from outer space"".[53] The cultural phenomenon showed up within some intellectual works such as the 1959 publication of Flying Saucers: A Modern Myth of Things Seen in the Sky by Carl Jung, a Swiss psychiatrist and psychoanalyst who founded analytical psychology.[61]"
