name,shortdesc,page_freq
Ted_Bloecher,American ufologist (1929–2024),0
Whitley_Strieber,American writer (born 1945),0
Soviet_Union,Country in Eurasia (1922–1991),8
Extraterrestrial_life,Life that does not originate on Earth,13
David_Marks_(psychologist),British psychologist,3
Republican_Party_(United_States),American political party,5
International_Space_Station,Inhabited space station in low Earth orbit,5
Albert_Einstein,German-born theoretical physicist (1879–1955),4
SpaceX,American space technology company,3
Telepathy,Psychic ability,3
U.S._Air_Force,no_shortdesc,3
Harry_S._Truman,President of the United States from 1945 to 1953,3
Michael_Shermer,American science writer (born 1954),3
Time_(magazine),American news magazine and website,3
James_Randi,Canadian-American magician and skeptic (1928–2020),5
Black_triangle_(UFO),UFOs with triangular shape and dark color,4
Office_of_Naval_Intelligence,United States Navy agency established 1882,3
James_W._Moseley,American UFO commentator (1931–2012),3
Venus,Second planet from the Sun,3
Close_encounter,Event in which a person witnesses an unidentified flying object,3
Project_Blue_Book,U.S. Air Force study of UFOs (1952–1969),8
Dowsing,Pseudoscientific attempts to locate underground objects,3
Roswell_UFO_incident,no_shortdesc,5
Stargate_Project_(U.S._Army_unit),U.S. Army investigations of psychic phenomena,7
Los_Alamos_National_Laboratory,"Laboratory near Santa Fe, New Mexico",0
Nazi_Germany,German state from 1933 to 1945,3
James_E._McDonald, American meteorologist and ufologist (1920-1971),4
Dulce_Base,Conspiracy theory,3
Russell_Targ,"American physicist, parapsychologist, and author",6
Manhattan_Project,World War II Allied nuclear weapons program,4
Ufology,Study of UFOs,20
Nature_(journal),British scientific journal,3
Federal_government_of_the_United_States,no_shortdesc,4
Richard_Feynman,American theoretical physicist (1918–1988),0
Florida,U.S. state,3
Ohio,U.S. state,3
Cold_War,1947–1991 geopolitical rivalry between US and USSR,5
Cape_Canaveral,Cape on the Atlantic coast of Florida in the United States,3
New_Mexico_Museum_of_Space_History,"Aviation museum in Alamogordo, New Mexico",3
Freemasonry,Group of fraternal organizations,5
Demon,Evil supernatural being,3
EG&G,Defunct American national defense contractor (1947–2010),0
Condon_Committee,University of Colorado UFO Project,6
NASA,American space and aeronautics agency,8
Robertson_Panel,1953 scientific committee for UAP reports,3
Columbia_University,"Private university in New York City, New York, US",7
Fighter_pilot,Military combat aviator,3
Nuclear_weapon,no_shortdesc,5
Apollo_program,1961–1972 American crewed lunar exploration program,4
Sleight_of_hand,Fine motor skills used to entertain or manipulate,3
Paranormal,Purported phenomena beyond the scope of normal scientific understanding,10
Lockheed_Martin,"American aerospace, defense, security, and technology company",3
Carl_Sagan,American scientist and science communicator (1934–1996),5
Mars,Fourth planet from the Sun,3
United_States_Department_of_Defense,Executive department of the US federal government,5
John_F._Kennedy,President of the United States from 1961 to 1963,4
Las_Vegas,"Most populous city in Nevada, United States",3
Kenneth_Arnold_UFO_sighting,"Alleged 1947 sighting in Washington, US",5
Bachelor_of_Science,Type of undergraduate qualification,7
Remote_viewing,Pseudoscientific concept,5
Robert_Sheaffer,American writer and UFO skeptic (born 1949),5
Nellis_Air_Force_Base,"USAF base in Clark County, Nevada",3
Seth_Shostak,American astronomer and author (born 1943),0
J._Allen_Hynek,American astronomer and ufologist (1910–1986),6
Project_Grudge,USAF investigation of UFOs (1949–1951),3
Budd_Hopkins,"American artist, author, ufologist (1931–2011)",3
"Chicago,_Illinois",no_shortdesc,3
Air_Medal,Military decoration of the United States Military,3
Space_Shuttle,Partially reusable launch system and space plane,6
MUFON,no_shortdesc,3
Astrophysics,Subfield of astronomy,3
Life_(magazine),American magazine,3
Psychosocial_UFO_hypothesis,Hypothesis in ufology,3
Wright-Patterson_Air_Force_Base,"United States Air Force base near Dayton, Ohio, United States",4
KLAS-TV,Television station in Las Vegas,4
General_Motors,American multinational automotive company,3
Washington_(state),U.S. state,3
Religious_studies,Objective study of religion,4
Great_Depression,Worldwide economic depression (1929–1939),4
Society_for_Scientific_Exploration,American body to study fringe science,3
Aircraft_carrier,Warship that serves as a seagoing airbase,3
Donald_Trump,President of the United States (2017–2021; since 2025),5
Director_of_Central_Intelligence,Head of the US Central Intelligence Agency (1946–2004),3
Texas,U.S. state,3
Skepticism,Doubtful attitude toward knowledge claims,3
Close_Encounters_of_the_Third_Kind,1977 science fiction film by Steven Spielberg,6
Cattle_mutilation,Killing and mutilation of cattle under unusual and anomalous circumstances,4
Fringe_science,Inquiries far outside of mainstream science,3
National_Enquirer,"American supermarket tabloid published by American Media, Inc",3
Paul_Bennewitz,American UFO researcher (1927–2003),3
World_War_I,1914–1918 global conflict,6
World_War_II,1939–1945 global conflict,12
"University_of_California,_Berkeley","Public university in Berkeley, California",5
Defense_Intelligence_Agency,U.S. DoD combat support agency,5
Astronomer,Scientist in the field of astronomy,6
Thomas_Townsend_Brown,American inventor (1905–1985),0
George_Adamski,Polish-American ufologist (1891-1965),3
Edward_J._Ruppelt,American UFO researcher (1923–1960),5
Ingo_Swann,American remote viewing pioneer (1933–2013),3
Project_Sign,U.S. Air Force study of UFOs (1948),4
Variety_(magazine),American entertainment trade magazine,3
American_Association_for_the_Advancement_of_Science,International nonprofit organization,3
George_Knapp_(television_journalist),American journalist,6
Steven_M._Greer,American ufologist,0
Flying_saucer,Purported disk-shaped aircraft,9
Uri_Geller,Israeli-British illusionist and self-proclaimed psychic (born 1946),6
UFO,no_shortdesc,9
Raymond_A._Palmer,American editor and novelist (1910–1977),3
Gordon_Cooper,American astronaut (1927–2004),4
Smithsonian_Institution,US group of museums and research centers,5
Roscoe_H._Hillenkoetter,American admiral (1897–1982),4
Andrija_Puharich,American physician and medical and parapsychological researcher,3
Donald_Keyhoe,American writer and UFO researcher,7
The_Guardian,British national daily newspaper,3
John_Glenn,American astronaut and politician (1921–2016),0
Colonel_(United_States),Military rank of the United States,4
Robert_Bigelow,American businessman (born 1944),6
Majestic_12,Purported organization that appears in UFO conspiracy theories,4
Bill_Clinton,President of the United States from 1993 to 2001,3
Moon,Natural satellite orbiting Earth,3
Scientific_method,"Interplay between observation, experiment, and theory in science",5
Massachusetts_Institute_of_Technology,"Private university in Cambridge, Massachusetts, US",6
Debunker,Person or group discrediting false claims,4
Mutual_UFO_Network,Organization centered around UFOs,5
Korean_War,1950–1953 war between North and South Korea,3
1947_flying_disc_craze,Reports of unidentified flying objects in 1947,6
Test_pilot,Pilot with extra training to test aircraft,3
Central_Intelligence_Agency,US intelligence and covert action agency,8
"Las_Vegas,_Nevada",no_shortdesc,3
Mathematics,Area of knowledge,3
Stanton_T._Friedman,American ufologist (1934–2019),3
California_Institute_of_Technology,"Private university in Pasadena, California",4
New_Mexico,U.S. state,3
USS_Tiru,Submarine of the United States,3
Search_for_extraterrestrial_intelligence,Effort to find civilizations not from Earth,3
SETI_Institute,Not-for-profit research organization,3
The_Joe_Rogan_Experience,American podcast,3
Nanotechnology,Technology with features near one nanometer,3
Linda_Moulton_Howe,American journalist,3
Frank_Scully,American journalist,3
Northwestern_University,"University in Evanston, Illinois, US",4
Carl_Jung,Swiss psychiatrist and psychotherapist (1875–1961),0
Apollo_10,Second crewed mission to orbit the Moon,3
John_Lear,American aviator and UFO conspiracy theorist (1942–2022),0
Leonard_H._Stringfield,American ufologist (1920–1994),0
Bob_Lazar,American businessman and UFO conspiracy theorist,4
United_States_Marine_Corps,Amphibious and maritime land service branch of the U.S. military,4
Roswell_incident,UFO legend caused by 1947 balloon crash,6
National_Press_Club_(United_States),"Professional organization and social club for journalists in Washington, D.C.",3
Gene_Cernan,American astronaut and lunar explorer (1934–2017),0
Astronaut,Spacecraft crew member,5
Martin_Gardner,American mathematics and science writer (1914–2010),3
Bill_Moore_(ufologist),American UFO researcher (born 1943),3
Illinois,U.S. state,3
John_E._Mack,American psychiatrist (1929–2004),3
Hypnosis,State of increased suggestibility,3
Chicago,"Most populous city in Illinois, United States",3
Science_fiction,Literary genre,4
National_Institute_for_Discovery_Science,Independent anomaly research organization,3
U.S._government,no_shortdesc,4
The_X-Files,American television series,3
Dwight_D._Eisenhower,"World War II general, U.S. president from 1953 to 1961",4
Jesse_Marcel,United States Air Force officer (1907–1986),0
CIA,no_shortdesc,3
BBC,British public service broadcaster,3
Physics,Scientific field of study,3
Second_lieutenant,Junior commissioned officer military rank,3
Nathan_F._Twining,US Air Force general (1897–1982),0
Area_51,U.S. Air Force facility in southern Nevada,8
SRI_International,American scientific research institute (founded 1946),5
California,U.S. state,4
United_States_Atomic_Energy_Commission,Independent federal government agency (1947–1975),4
Cornell_University,"Private university in Ithaca, New York, US",3
Major_(United_States),Field-grade military officer rank,4
Princeton_University,"Private university in Princeton, New Jersey, US",3
Sputnik_1,First artificial Earth satellite,3
Buzz_Aldrin,American astronaut (born 1930),4
True_(magazine),1937–1975 American magazine,3
Steven_Spielberg,American filmmaker (born 1946),4
Advanced_Aerospace_Threat_Identification_Program,U.S. program to study UFOs (2007–2012),3
Unidentified_flying_object,Airborne entity that has not been identified or explained,20
Ufologists,no_shortdesc,4
Rice_University,"Private university in Houston, Texas, US",3
Society_of_Experimental_Test_Pilots,no_shortdesc,4
Kenneth_Arnold,American aviator and businessman (1915–1984),6
Barry_Goldwater,American politician and military officer (1909–1998),3
Edgar_Mitchell,American astronaut and lunar explorer (1930–2016),4
"Roswell,_New_Mexico","City in New Mexico, United States",4
Edward_Condon,American nuclear physicist (1902–1974),0
Jacques_Vallée,Computer scientist and ufologist (born 1939),4
Amazing_Stories,American science fiction magazine,3
Milton_William_Cooper,American conspiracy theorist (1943–2001),3
President_of_the_United_States,Head of state and government of the United States,3
Mount_Rainier,Stratovolcano in the U.S. state of Washington,4
Bill_Lear,American businessman and inventor,3
Los_Angeles,"Most populous city in California, United States",3
To_The_Stars_Inc.,American company,0
Tom_DeLonge,American rock musician (born 1975),3
Coast_to_Coast_AM,American radio talk show,4
Center_for_UFO_Studies,U.S. UFO research organization,0
Captain_(United_States_O-6),"Rank in the United States uniformed services, O-6",3
United_States_Air_Force,Air service branch of the U.S. military,16
Extraterrestrial_hypothesis,no_shortdesc,7
The_Pentagon,Headquarters of the U.S. Department of Defense,3
Fred_Crisman,American pilot (1919–1975),3
United_States,Country primarily in North America,4
National_Investigations_Committee_On_Aerial_Phenomena,U.S. based civilian UFO research group,6
Skinwalker_Ranch,"Reputed paranormal area in Utah, United States",4
Neil_Armstrong,American astronaut (1930–2012),3
Bigelow_Aerospace,American space technology company,4
United_States_Navy,Maritime service branch of the U.S. military,10
United_States_Air_Force_Academy,"Military academy in El Paso County, Colorado, US",3
Rear_admiral_(United_States),"Flag officer rank of the USN, USCG, USPHS, and NOAA Corps",3
Harold_E._Puthoff,American parapsychologist (born 1936),8
Mick_West,Science writer and retired programmer,4
Philip_J._Klass,UFO researcher (1919–2005),5
University_of_Chicago,"Private university in Chicago, Illinois, US",4
Attack_on_Pearl_Harbor,1941 Japanese surprise attack on the United States,3
The_Flying_Saucers_Are_Real,Book by Donald Keyhoe,4
Presidential_Medal_of_Freedom,Joint-highest civilian award of the US,3
Disinformation,Deliberately misleading information,3
Artificial_intelligence,Intelligence of machines,3
Harry_Reid,American politician (1939–2021),4
United_States_Naval_Academy,"Service academy in Annapolis, Maryland, US",4
Extraterrestrial_intelligence, Hypothetical intelligent extraterrestrial life,3
Jeremy_Corbell,"American artist, filmmaker and ufologist",4
UFO_conspiracy_theories,Claims of an alien visitation cover-up,3
