node,color,role
Alex Dietrich,#0080ff,military
Alien Scientist,green,military
Allen Hynek,#0080ff,
Andre Carson,#0080ff,gov
Asymmetric Disclosure,#0080ff,
Avi Loeb,#0080ff,physicist
Barack Obama,#0080ff,
Beatriz Villaroel,#0080ff,
Billy Carson,#0080ff,
Blake Cousins,#0080ff,jounalist
Bob Lazar,#0080ff,
Cap. Mantell,#0080ff,military
Carl Jung,#0080ff,
Chad Underwood,#0080ff,
Chaz King,#0080ff,
Chris Lehto,#0080ff,
Christopher Mellon,#0080ff,
Chuck Schumer,#0080ff,
Danny Sheehan,#0080ff,
David Fravor,#0080ff,
David Grusch,#0080ff,
David Schindele,#0080ff,
Derrick Pitts,#0080ff,
Diana Pasulka,#ff2c41,
Donald Keyhoe,#0080ff,gov
Eamonn Ansbro,#0080ff,
Edward Condon,#0080ff,
Eric Davis,#0080ff,
Fife Symington,#0080ff,
Frank Mannor,#0080ff,
Garrett Graff,#0080ff,UFO author
Garry Nolan,#0080ff,
George Knapp,#0080ff,
George W. Bush,#0080ff,
Hal Puthof,#0080ff,
Harry Reid,#0080ff,
Helene Cooper,#0080ff,
Jack Sarfatti,#0080ff,
Jacob Barber,#0080ff,military
Jacques Valle,#0080ff,
James C. Goodall,#0080ff,
James Fox,#0080ff,
James Lacatski,#0080ff,
Jay Stratton,#0080ff,
Jeffrey Kripal,#0080ff,
Jeffrey Nuccetelli,#0080ff,military
Jeremy Corbell,#0080ff,
Jesse Michels,#0080ff,
Jimmy Carter,#0080ff,
Joe Rogan,yellow,
John Brennan,#0080ff,gov
John Podesta,#0080ff,
Joshua Cutchin,#0080ff,
Karl Nell,#0080ff,military
Kristen Gillibrand,#0080ff,
Lawrence J. Tacker,#0080ff,
Leonard Stringfield,#0080ff,researcher
Leslie Kean,#ff5314,
Linda Powell,#0080ff,ufo writer
Lt. General John A. Samford,#0080ff,
Lue Elizondo,#0080ff,
Marco Rubio,#0080ff,
Mark Rodeghier,#0080ff,
Matthew Brown,#0080ff,
Michael Herrera,#0080ff,military
Michael Schratt,#0080ff,aerospace historian
Michio Kaku,#0080ff,
NatGeo doc,pink,documentary
Neil D Tyson,#0080ff,
Peter Gumpel,#0080ff,
Philip K. Dick,#0080ff,
Ralph Blumenthal,#0080ff,
Randy Anderson,#0080ff,military
Richard Dolan,#0080ff,writer
Richard Heines,#0080ff,
Robert Bigelow,#0080ff,
Robert Jamison,#0080ff,
Robert Powell,#0080ff,
Robert Salas,#0080ff,
Ross Coulthart,#0080ff,journalist
Ryan Graves,#0080ff,
Shane Harris,#0080ff,WaPo writer
Shawn Ryan,#0080ff,podcaster
Stanton Friedman,#0080ff,
Steven Greer,green,ufo researcher
Steven J. Dick,#0080ff,
Steven Spielberg,#0080ff,
Stewart Alexander,#0080ff,
The Disclosure Project,#0080ff,
Tim Burchett,#0080ff,
Tim Gallaudet,#0080ff,
Tim Ventura,#0080ff,
Tom DeLonge,#0080ff,
Tulsi Gabbard,#0080ff,
Whitley Strieber,#0080ff,
DC Long,#0080ff,
