node,role,rank
Edgar Mitchell,astronaut,3
Diana Pasulka,author,3
George Knapp,author,1
Helene Cooper,author,3
Jacques Valle,author,1
Jeffrey Kripal,author,1
Jeremy Corbell,author,3
John Lear,author,3
Leslie Kean,author,3
Philip K. Dick,author,3
Ralph Blumenthal,author,3
Richard Dolan,author,3
Ross Coulthart,author,3
Shane Harris,author,3
Steven Greer,author,3
Steven Spielberg,author,3
Tom DeLonge,author,3
Whitley Strieber,author,1
NICAP,civ org,1
NIDSci,civ org,1
Sol Foundation,civ org,1
The Disclosure Project,civ org,1
TTSA,civ org,1
University of Colorado UFO Project,civ org,1
BAASS,civ org,1
Age of Disclosure,documentary,3
Asymmetric Disclosure,documentary,3
UFO's: investigating the unknown (NatGeo),documentary,3
Robert Bigelow,entrepreneur,3
AATIP,government,1
AAWSAP,government,1
Ana Paulina Luna,government,1
Andre Carson,government,1
Barack Obama,government,1
Billy Carson,government,1
Chuck Schumer,government,1
CIA,government,1
Congress,government,1
Daniel Inouye,government,1
Edward Condon,government,3
Fife Symington,government,3
George Bush Sr.,government,3
George W. Bush,government,3
Harry Reid,government,3
Jim Semivan,government,3
Jimmy Carter,government,1
John Brennan,government,3
John Podesta,government,3
Kristen Gillibrand,government,3
Marco Rubio,government,3
Project Blue Book,government,3
Project Magenta,government,3
Project Sign,government,3
Ted Stevens,government,3
Tim Burchett,government,3
Tulsi Gabbard,government,3
Danny Sheehan,lawyer,3
Alex Dietrich,military,1
Cap. Mantell,military,1
Chad Underwood,military,1
Chaz King,military,1
David Fravor,military,1
David Grusch,military,1
David Schindele,military,1
DC Long,military,1
Donald Keyhoe,military,1
Jacob Barber,military,1
Jeffrey Nuccetelli,military,1
Jesse Marcel,military,1
John Alexander,military,1
Karl Nell,military,1
Kenneth Arnold,military,1
Lt. General John A. Samford,military,1
Robert Salas,military,1
Tim Gallaudet,military,1
Roswell,place,1
SWR,place,1
Alien Scientist,podcast,3
Chris Lehto,podcast,3
Jesse Michels,podcast,3
Joe Rogan,podcast,3
Matt Ford (GTShow),podcast,3
Shawn Ryan,podcast,3
Tim Ventura,podcast,3
UAP Files Podcast,podcast,3
Blake Cousins,producer,3
James Fox,producer,2
Allen Hynek,scientist,1
Avi Loeb,scientist,1
Beatriz Villaroel,scientist,1
Carl Jung,scientist,1
Carl Sagan,scientist,1
Colm Kelleher,scientist,1
Eamonn Ansbro,scientist,3
Eric Davis,scientist,1
Garry Nolan,scientist,1
Hal Puthof,scientist,1
Jack Sarfatti,scientist,1
James Lacatski,scientist,1
Jay Stratton,scientist,1
Michio Kaku,scientist,1
Neil D Tyson,scientist,3
Peter Skafish,scientist,2
Stanton Friedman,scientist,1
Derrick Pitts,tbd,3
Edward J. Ruppelt,tbd,3
Frank Mannor,tbd,3
Frank Scully,tbd,3
Garrett Graff,tbd,3
Gerald Heard,tbd,3
Ingo Swann,tbd,3
Ivan Hannel,tbd,3
James C. Goodall,tbd,3
Jordan Flowers,tbd,3
Joshua Cutchin,tbd,3
Julia Mossbridge,tbd,3
Keith Taylor,tbd,3
Kevin Knuth,tbd,3
Lawrence Forsley,tbd,3
Lawrence J. Tacker,tbd,3
Leonard Stringfield,tbd,3
Linda Powell,tbd,3
Mark Rodeghier,tbd,3
Michael Schratt,tbd,3
Mike Rounds,tbd,3
Nathan F. Twining,tbd,3
Peter Gumpel,tbd,3
Randy Anderson,tbd,3
Richard Heines,tbd,3
Robert Jamison,tbd,3
Robert Powell,tbd,3
Roscoe H. Hillenkoetter,tbd,3
start,tbd,3
Steven J. Dick,tbd,3
Stewart Alexander,tbd,3
Thomas Townsend Brown,tbd,3
Uri Geller,tbd,2
Walter Cronkite,tbd,3
Bob Lazar,whistleblower,1
Christopher Mellon,whistleblower,1
Lue Elizondo,whistleblower,1
Matthew Brown,whistleblower,1
Michael Herrera,whistleblower,1
Ryan Graves,whistleblower,1
Dylan Borland,whistleblower,1
