node,role,rank
George Knapp,author,3
Helene Cooper,author,3
Jacques Valle,author,1
Jeffrey Kripal,author,1
Jeremy Corbell,author,3
Philip K. Dick,author,3
Whitley Strieber,author,1
AoD,documentary,3
Asymmetric Disclosure,documentary,3
AATIP,government,1
Ana Paulina Luna,government,1
Andre Carson,government,1
Barack Obama,government,1
Billy Carson,government,1
Chuck Schumer,government,1
CIA,government,1
Daniel Inouye,government,1
Edward Condon,government,3
Harry Reid,government,3
Jim Semivan,government,3
Jimmy Carter,government,1
John Brennan,government,3
Project Blue Book,government,3
Danny Sheehan,lawyer,3
Alex Dietrich,military,1
Cap. Mantell,military,1
Chad Underwood,military,1
Chaz King,military,1
David Fravor,military,1
David Grusch,military,1
David Schindele,military,1
DC Long,military,1
Donald Keyhoe,military,3
Jacob Barber,military,1
Jeffrey Nuccetelli,military,3
Robert Salas,military,3
Alien Scientist,podcast,3
Jesse Michels,podcast,3
Joe Rogan,podcast,3
UAP Files Podcast,podcast,3
Blake Cousins,producer,3
James Fox,producer,2
Allen Hynek,science,1
Avi Loeb,science,1
Beatriz Villaroel,science,1
Carl Jung,science,1
Carl Sagan,science,1
Chris Lehto,science,1
Colm Kelleher,science,1
Eamonn Ansbro,science,3
Edgar Mitchell,science,3
Eric Davis,science,1
Garry Nolan,science,1
Hal Puthof,science,1
Jack Sarfatti,science,1
James Lacatski,science,1
Jay Stratton,science,1
University of Colorado UFO Project,science,1
Derrick Pitts,tbd,3
Diana Pasulka,tbd,3
Edward J. Ruppelt,tbd,3
Fife Symington,tbd,3
Frank Mannor,tbd,3
Frank Scully,tbd,3
Garrett Graff,tbd,3
George Bush Sr.,tbd,3
George W. Bush,tbd,3
Gerald Heard,tbd,3
Ivan Hannel,tbd,3
James C. Goodall,tbd,3
John Lear,tbd,3
John Podesta,tbd,3
Jordan Flowers,tbd,3
Joshua Cutchin,tbd,3
Julia Mossbridge,tbd,3
Karl Nell,tbd,3
Keith Taylor,tbd,3
Kenneth Arnold,tbd,3
Kevin Knuth,tbd,3
Kristen Gillibrand,tbd,3
Lawrence Forsley,tbd,3
Lawrence J. Tacker,tbd,3
Leonard Stringfield,tbd,3
Leslie Kean,tbd,3
Linda Powell,tbd,3
Lt. General John A. Samford,tbd,3
Lue Elizondo,tbd,3
Marco Rubio,tbd,3
Mark Rodeghier,tbd,3
Matt Ford (GTShow),tbd,3
Matthew Brown,tbd,3
Michael Herrera,tbd,3
Michael Schratt,tbd,3
Michio Kaku,tbd,3
Mike Rounds,tbd,3
NatGeo doc,tbd,3
Nathan F. Twining,tbd,3
Neil D Tyson,tbd,3
NICAP,tbd,3
NIDSci,tbd,3
Peter Gumpel,tbd,3
Peter Skafish,tbd,3
Project Magenta,tbd,3
Project Sign,tbd,3
Ralph Blumenthal,tbd,3
Randy Anderson,tbd,3
Richard Dolan,tbd,3
Richard Heines,tbd,3
Robert Bigelow,tbd,3
Robert Jamison,tbd,3
Robert Powell,tbd,3
Roscoe H. Hillenkoetter,tbd,3
Ross Coulthart,tbd,3
Ryan Graves,tbd,3
Shane Harris,tbd,3
Shawn Ryan,tbd,3
Sol Foundation,tbd,3
Stanton Friedman,tbd,3
start,tbd,3
Steven Greer,tbd,3
Steven J. Dick,tbd,3
Steven Spielberg,tbd,3
Stewart Alexander,tbd,3
SWR,tbd,3
Ted Stevens,tbd,3
The Disclosure Project,tbd,3
Thomas Townsend Brown,tbd,3
Tim Burchett,tbd,3
Tim Gallaudet,tbd,3
Tim Ventura,tbd,3
Tom DeLonge,tbd,3
Tulsi Gabbard,tbd,3
Walter Cronkite,tbd,3
Bob Lazar,whistleblower,1
Christopher Mellon,whistleblower,1
