edge_idx,source,source_role,relationship,edge_rank,target,target_role,year,url
1297,Steven Greer,author,appeared_on,3,Asymmetric Disclosure,documentary,2025,
1253,Ross Coulthart,author,appeared_on,3,Matt Ford (GTShow),podcast,2025,
1122,Jacques Valle,author,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1203,Leslie Kean,author,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1228,Ralph Blumenthal,author,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1261,Shane Harris,author,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1009,Ana Paulina Luna,government,appeared_on,3,Age of Disclosure,documentary,2025,
1010,Andre Carson,government,appeared_on,3,Age of Disclosure,documentary,2025,
1147,Jim Semivan,government,appeared_on,3,Age of Disclosure,documentary,2025,
1184,Kristen Gillibrand,government,appeared_on,3,Age of Disclosure,documentary,2025,
1214,Marco Rubio,government,appeared_on,3,Age of Disclosure,documentary,2025,
1301,Tim Burchett,government,appeared_on,3,Age of Disclosure,documentary,2025,
1020,Billy Carson,author,appeared_on,3,Asymmetric Disclosure,documentary,2025,
1302,Tim Burchett,government,appeared_on,3,Asymmetric Disclosure,documentary,2025,
1185,Kristen Gillibrand,government,appeared_on,3,Matt Ford (GTShow),podcast,2025,
1011,Andre Carson,government,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1033,Chuck Schumer,government,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1070,Edward Condon,government,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1110,Harry Reid,government,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1186,Kristen Gillibrand,government,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1215,Marco Rubio,government,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,UFO's: Investigating the Unknown MEGA EPISODE | Secret Programs and Close Encounters | Nat Geo
1303,Tim Burchett,government,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1178,Karl Nell,military,appeared_on,3,Age of Disclosure,documentary,2025,
1304,Tim Gallaudet,military,appeared_on,3,Age of Disclosure,documentary,2025,
1244,Robert Salas,military,appeared_on,3,Matt Ford (GTShow),podcast,2025,
1000,Alex Dietrich,military,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1024,Cap. Mantell,military,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1026,Chaz King,military,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1046,David Fravor,military,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1050,David Grusch,military,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1134,Jeffrey Nuccetelli,military,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1245,Robert Salas,military,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1305,Tim Gallaudet,military,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1023,Blake Cousins,producer,appeared_on,3,Asymmetric Disclosure,documentary,2025,
1072,Eric Davis,scientist,appeared_on,3,Age of Disclosure,documentary,2025,
1105,Hal Puthof,scientist,appeared_on,3,Age of Disclosure,documentary,2025,
1132,Jay Stratton,scientist,appeared_on,3,Age of Disclosure,documentary,2025,
1015,Avi Loeb,scientist,appeared_on,3,Matt Ford (GTShow),podcast,2025,
1018,Beatriz Villaroel,scientist,appeared_on,3,Matt Ford (GTShow),podcast,2025,
1085,Garry Nolan,scientist,appeared_on,3,Matt Ford (GTShow),podcast,2025,
1019,Beatriz Villaroel,scientist,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1086,Garry Nolan,scientist,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1222,Michio Kaku,scientist,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1223,Mike Rounds,tbd,appeared_on,3,Age of Disclosure,documentary,2025,
1123,James C. Goodall,tbd,appeared_on,3,Asymmetric Disclosure,documentary,2025,
1221,Michael Schratt,tbd,appeared_on,3,Asymmetric Disclosure,documentary,2025,
1174,Jordan Flowers,tbd,appeared_on,3,Matt Ford (GTShow),podcast,2025,The Age of Disclosure - 20 Voices Reveal the UFO Truth - YouTube
1175,Julia Mossbridge,tbd,appeared_on,3,Matt Ford (GTShow),podcast,2025,
1180,Keith Taylor,tbd,appeared_on,3,Matt Ford (GTShow),podcast,2025,
1182,Kevin Knuth,tbd,appeared_on,3,Matt Ford (GTShow),podcast,2025,
1187,Lawrence Forsley,tbd,appeared_on,3,Matt Ford (GTShow),podcast,2025,
1076,Garrett Graff,tbd,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1204,Linda Powell,tbd,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1240,Robert Powell,tbd,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1241,Robert Powell,tbd,appeared_on,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
